Component_1st,Component_2nd,Continent
-0.19271508454523345,-1.5253953495834383,Europe
-0.6371160289340235,0.285758906429085,Asia
-0.12659505583703012,-2.1343122851355303,Africa
-0.2051709378372638,-2.116620142452677,Europe
-0.598020396545625,0.21906197778689557,Asia
-0.4869041915740369,0.1785512025232904,Europe
-0.09659792201790621,-1.4744234657057644,Asia
-0.2126247541721907,-0.1643712837650614,North America
-0.5148225973495717,-0.2567089227798166,Europe
-0.6240652203434196,0.566492347222967,Asia
-0.18211244717985475,-2.3242455077905175,Europe
-0.6967858149741322,0.3669792210126533,Europe
-0.5797801819620063,-0.4465013565060387,South America
-0.6167898556710633,0.8587422009069762,Asia
-0.32141229173915103,0.048702378898666354,Europe
-0.7158333855534496,0.7003738007518572,South America
-0.7408847881463444,0.03469269435089414,North America
-0.7250492447029708,1.0318883367145408,North America
-0.7425879333300823,0.20643160259924195,Europe
-0.8236537488831578,0.7046425310206879,Asia
-0.42337505770318046,-1.6695691750812325,North America
-0.5787565439793032,-1.2613404565473372,Asia
-0.7796597288583248,1.0272542205060287,Australia/Oceania
-0.49937379764542594,-0.5365071542415938,Asia
-0.6531724228075948,1.2672680784357846,South America
-0.726316255204524,0.44681639460923545,Asia
-0.7017537488196051,1.3018261859885871,Asia
-0.6961182682429997,0.14245974035913145,Asia
-0.44104784057897933,-1.8197421187952856,North America
-0.5349061194249395,-0.661026546819876,Europe
-0.6889409090283928,0.5452034285549116,Asia
-0.67007501928745,-0.1822062368195321,South America
-0.3050730635219047,-1.1699409413104038,Europe
-0.8396291795044029,0.27993638289801404,Africa
-0.6769313626961021,-0.9726097685301832,Africa
-0.8522052430289648,1.1312886779109206,Africa
-0.8850302600353446,0.9434743848483145,Asia
-0.3869064150608068,-1.2154353436195788,Asia
-0.7730473553817377,0.05110590355796085,Asia
-0.7755139375407659,0.1680853085929788,North America
-0.8548393051592491,1.0911133979223357,Asia
-0.6789281661866982,1.565366498319094,Europe
-0.877502416044742,0.8883893133467758,Asia
-0.9072516413151381,1.0942379836210814,Africa
-0.33789438116485443,-2.229207037482391,Africa
-0.9103972193440174,1.0828049098823824,Africa
-0.5098554926640317,-1.8535315713257114,Europe
-0.8522271639500036,0.78692936374061,Africa
-0.5912567368115474,-1.9973247658175601,Europe
-0.852335463481366,0.8870144080663326,Africa
-0.5812612705350815,1.3418861725336397,Africa
-0.7052347718484686,-1.0000711444314285,Africa
-0.879487931863497,1.1240253662018744,Asia
-0.8641444341134152,0.7239439386567293,Europe
-0.9226895164279584,1.0869802158818354,Africa
-0.7837334681321209,0.23177253996825523,Europe
-0.5099894295486368,-1.642127846866352,Asia
-0.6282338374366924,-0.33993249948203946,Europe
-0.919148587374204,0.9785321781216146,Asia
-0.7389216641052359,-0.5873954629300102,Asia
