"Country,Other",TotalCases,NewCases,TotalDeaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
New Caledonia,59033,0,304,0,54857,0,3872,28,203476,1048,98964,341110,290123,Australia/Oceania
Mauritania,58657,1,981,0,57648,4,28,30,12081,202,757869,156088,4855401,Africa
Belize,57003,27,652,0,55743,85,608,6,139104,1591,509412,1243117,409786,North America
Barbados,56679,128,323,0,55093,382,1263,0,196824,1122,595351,2067421,287968,North America
Channel Islands,56090,349,146,0,52204,312,3740,0,317677,827,1220549,6912824,176563,Europe
Cabo Verde,55906,2,401,0,55438,1,67,23,98746,708,400982,708246,566162,Africa
Syria,55243,50,3107,2,48978,177,3158,0,3033,171,146269,8030,18216422,Asia
Gabon,47564,0,303,0,47212,0,49,1,20553,131,1580654,683036,2314159,Africa
Papua New Guinea,41533,0,639,0,39905,0,989,7,4499,69,249149,26986,9232460,Australia/Oceania
Seychelles,39605,0,163,0,39212,0,230,0,398549,1640,0,0,99373,Africa
Curaçao,39133,0,264,0,38533,0,336,3,236848,1598,494095,2990455,165224,North America
Andorra,38794,0,152,0,37925,0,717,14,500742,1962,249838,3224840,77473,Europe
Burundi,38209,31,38,0,773,0,37398,0,3060,3,345742,27689,12486832,Africa
Togo,36843,0,272,0,36447,0,124,0,4281,32,699604,81298,8605415,Africa
Mayotte,36703,0,187,0,2964,0,33552,0,129283,659,176919,623180,283897,Africa
Guinea,36427,0,440,0,33000,0,2987,8,2653,32,660107,48069,13732438,Africa
Faeroe Islands,34237,0,28,0,7693,0,26516,5,696214,569,778000,15820726,49176,Europe
Aruba,33732,0,212,0,33462,0,58,7,313699,1972,177885,1654283,107530,North America
Tanzania,33726,0,800,0,0,0,0,7,539,13,0,0,62598082,Africa
Mauritius,33496,144,786,0,30039,141,2671,0,26265,616,358675,281242,1275325,Africa
Bahamas,33188,8,771,0,32087,35,330,9,83058,1930,223187,558561,399575,North America
Lesotho,32716,0,697,0,23461,0,8558,0,15070,321,407836,187868,2170865,Africa
Haiti,30433,3,827,0,26027,298,3579,0,2615,71,132422,11380,11636720,North America
Mali,30407,5,726,1,29561,1,120,0,1432,34,630872,29712,21232602,Africa
Benin,26575,0,163,0,25506,0,906,5,2100,13,604310,47742,12657756,Africa
Somalia,26400,0,1348,0,13182,0,11870,0,1587,81,400466,24067,16639594,Africa
Isle of Man,24169,207,81,1,23079,141,1009,0,281720,944,150753,1757212,85791,Europe
Congo,24041,0,378,0,20178,0,3485,0,4183,66,347815,60524,5746756,Africa
Saint Lucia,22822,11,364,0,22406,6,52,1,123335,1967,137485,742997,185041,North America
Timor-Leste,22784,7,129,0,22566,26,89,9,16744,95,252353,185453,1360737,Asia
Taiwan,21081,82,853,0,19011,67,1217,0,882,36,11958385,500572,23889423,Asia
Burkina Faso,20751,0,375,0,20309,0,67,0,949,17,248995,11386,21868123,Africa
Cayman Islands,19373,0,17,0,8553,0,10803,2,289054,254,222773,3323879,67022,North America
Nicaragua,18203,0,222,0,4225,0,13756,0,2694,33,0,0,6757344,North America
Tajikistan,17388,0,124,0,17263,0,1,0,1757,13,0,0,9898356,Asia
South Sudan,17044,10,138,1,13503,1,3403,1,1493,12,346289,30337,11414836,Africa
Bhutan,16277,331,7,0,12187,374,4083,3,20711,9,2028604,2581174,785923,Asia
Equatorial Guinea,15894,0,183,0,15670,0,41,5,10735,124,290997,196547,1480550,Africa
Gibraltar,15792,28,101,0,15354,26,337,10,468967,2999,521091,15474580,33674,Europe
Djibouti,15564,0,189,0,15359,0,16,0,15376,187,288558,285079,1012204,Africa
San Marino,14523,0,112,0,14198,0,213,4,426507,3289,138257,4060292,34051,Europe
CAR,14320,0,113,0,6859,0,7348,2,2881,23,81294,16353,4971206,Africa
Grenada,13690,0,216,0,13336,0,138,4,120721,1905,136411,1202898,113402,North America
Liechtenstein,13590,119,79,0,12895,195,616,4,354719,2062,80413,2098899,38312,Europe
Gambia,11963,0,365,0,11583,0,15,0,4727,144,153983,60840,2530949,Africa
Bermuda,11850,107,124,1,11502,62,224,0,191469,2004,815667,13179302,61890,North America
Greenland,11849,17,20,0,2761,0,9068,4,208111,351,164926,2896691,56936,North America
Yemen,11783,2,2139,1,8827,11,817,23,381,69,265253,8575,30932083,Asia
Dominica,11502,40,62,0,11127,12,313,0,159116,858,173397,2398730,72287,North America
Saint Martin,9912,0,63,0,1399,0,8450,7,249189,1584,112382,2825301,39777,North America
Eritrea,9719,1,103,0,9613,0,3,0,2678,28,23693,6529,3629109,Africa
Monaco,9686,32,51,0,9435,16,200,4,243912,1284,54960,1383999,39711,Europe
Sint Maarten,9599,0,85,0,9463,0,51,10,219677,1945,62056,1420176,43696,North America
Niger,8774,0,307,0,8454,0,13,1,342,12,232094,9038,25680904,Africa
Solomon Islands,8491,0,118,0,1860,0,6513,3,11871,165,5117,7154,715243,Australia/Oceania
Comoros,8057,3,160,0,7883,5,14,0,8944,178,0,0,900794,Africa
Guinea-Bissau,8050,11,168,0,7055,10,827,6,3934,82,125580,61369,2046316,Africa
Sierra Leone,7667,1,125,0,0,0,0,0,929,15,259958,31509,8250165,Africa
Caribbean Netherlands,7614,0,31,0,7547,0,36,0,285875,1164,30126,1131111,26634,North America
Antigua and Barbuda,7461,0,135,0,7305,0,21,1,75140,1360,18901,190352,99295,North America
Liberia,7392,5,294,0,5747,0,1351,2,1406,56,139824,26593,5257831,Africa
Chad,7258,0,190,0,4874,0,2194,0,422,11,191341,11112,17219213,Africa
St. Vincent Grenadines,6742,0,106,0,6634,0,2,0,60448,950,98236,880772,111534,North America
British Virgin Islands,6091,0,62,0,0,0,0,1,199248,2028,100749,3295682,30570,North America
Sao Tome and Principe,5934,0,72,0,5862,0,0,0,26255,319,29036,128470,226013,Africa
Turks and Caicos,5874,7,36,0,5808,21,30,4,148337,909,419792,10601076,39599,North America
Saint Kitts and Nevis,5538,1,42,0,5491,1,5,1,102874,780,65141,1210057,53833,North America
Palau,3888,0,6,0,3556,0,326,0,213170,329,37947,2080542,18239,Australia/Oceania
St. Barth,3780,0,6,0,0,0,0,0,380741,604,78646,7921636,9928,North America
Kiribati,3010,4,13,0,2398,18,599,9,24564,106,0,0,122536,Australia/Oceania
Anguilla,2574,0,9,0,2552,0,13,4,169020,591,51382,3373958,15229,North America
Saint Pierre Miquelon,1256,36,1,0,1092,6,163,1,218587,174,17358,3020884,5746,North America
Tonga,1220,0,0,0,366,0,854,0,11326,0,34012,315765,107713,Australia/Oceania
Wallis and Futuna,454,0,7,0,438,0,9,0,41625,642,20508,1880260,10907,Australia/Oceania
Cook Islands,247,41,0,0,61,15,186,0,14041,0,2943,167301,17591,Australia/Oceania
Montserrat,166,2,2,0,162,0,2,0,33220,400,8359,1672804,4997,North America
Falkland Islands,116,0,0,0,0,0,0,0,31772,0,8632,2364284,3651,South America
Vanuatu,95,0,1,0,12,0,82,1,298,3,23000,72048,319230,Australia/Oceania
Macao,82,0,0,0,79,0,3,0,123,0,5318,8006,664247,Asia
Samoa,45,4,0,0,28,0,17,0,224,0,0,0,200636,Australia/Oceania
Vatican City,29,0,0,0,28,0,1,0,36070,0,0,0,804,Europe
Western Sahara,10,0,1,0,8,0,1,0,16,2,0,0,622065,Africa
Marshall Islands,7,0,0,0,7,0,0,0,117,0,0,0,59863,Australia/Oceania
Saint Helena,2,0,0,0,2,0,0,0,327,0,0,0,6107,Africa
Micronesia,1,0,0,0,1,0,0,0,9,0,0,0,117055,Australia/Oceania
Niue,1,0,0,0,0,0,1,0,608,0,0,0,1645,Australia/Oceania
